,Country,No,Yes,Total Disasters,Percentage
97,Japan,464.0,0.0,464.0,0.0
119,Malta,11.0,0.0,11.0,0.0
121,Martinique,18.0,0.0,18.0,0.0
123,Mauritius,26.0,0.0,26.0,0.0
124,Mayotte,3.0,0.0,3.0,0.0
204,Turks and Caicos Is.,10.0,0.0,10.0,0.0
54,Denmark,25.0,0.0,25.0,0.0
62,Eritrea,12.0,0.0,12.0,0.0
130,Montserrat,8.0,0.0,8.0,0.0
49,Curaçao,1.0,0.0,1.0,0.0
203,Turkmenistan,4.0,0.0,4.0,0.0
136,Nepal,215.0,0.0,215.0,0.0
138,New Caledonia,17.0,0.0,17.0,0.0
148,Palau,6.0,0.0,6.0,0.0
201,Tunisia,69.0,0.0,69.0,0.0
50,Cyprus,20.0,0.0,20.0,0.0
63,Estonia,8.0,0.0,8.0,0.0
64,Ethiopia,163.0,0.0,163.0,0.0
112,Macao,9.0,0.0,9.0,0.0
208,Ukraine,101.0,0.0,101.0,0.0
81,Guinea-Bissau,42.0,0.0,42.0,0.0
92,Ireland,32.0,0.0,32.0,0.0
209,United Arab Emirates,16.0,0.0,16.0,0.0
77,Guadeloupe,20.0,0.0,20.0,0.0
93,Isle of Man,1.0,0.0,1.0,0.0
194,Tanzania,214.0,0.0,214.0,0.0
98,Jordan,31.0,0.0,31.0,0.0
102,Kuwait,5.0,0.0,5.0,0.0
103,Kyrgyzstan,42.0,0.0,42.0,0.0
104,Laos,62.0,0.0,62.0,0.0
70,Gabon,26.0,0.0,26.0,0.0
69,French Guiana,3.0,0.0,3.0,0.0
111,Luxembourg,15.0,0.0,15.0,0.0
66,Finland,8.0,0.0,8.0,0.0
155,Poland,91.0,0.0,91.0,0.0
37,Cayman Is.,7.0,0.0,7.0,0.0
143,Niue,6.0,0.0,6.0,0.0
161,Rwanda,69.0,0.0,69.0,0.0
172,Singapore,9.0,0.0,9.0,0.0
173,Sint Maarten,1.0,0.0,1.0,0.0
17,Belarus,18.0,0.0,18.0,0.0
15,Bangladesh,588.0,0.0,588.0,0.0
14,Bahrain,7.0,0.0,7.0,0.0
13,Bahamas,35.0,0.0,35.0,0.0
12,Azores Is.,9.0,0.0,9.0,0.0
11,Azerbaijan,30.0,0.0,30.0,0.0
158,Qatar,5.0,0.0,5.0,0.0
182,St-Barthélemy,1.0,0.0,1.0,0.0
8,Armenia,20.0,0.0,20.0,0.0
184,St. Kitts and Nevis,11.0,0.0,11.0,0.0
6,Antigua and Barb.,13.0,0.0,13.0,0.0
5,Anguilla,12.0,0.0,12.0,0.0
196,Timor-Leste,14.0,0.0,14.0,0.0
188,Sweden,24.0,0.0,24.0,0.0
192,Taiwan,187.0,0.0,187.0,0.0
193,Tajikistan,81.0,0.0,81.0,0.0
183,St-Martin,1.0,0.0,1.0,0.0
21,Bermuda,8.0,0.0,8.0,0.0
171,Sierra Leone,61.0,0.0,61.0,0.0
85,Hong Kong,127.0,0.0,127.0,0.0
198,Tokelau,6.0,0.0,6.0,0.0
213,Uzbekistan,16.0,0.0,16.0,0.0
22,Bhutan,12.0,0.0,12.0,0.0
28,Brunei,1.0,0.0,1.0,0.0
167,Saudi Arabia,81.0,0.0,81.0,0.0
164,Saint Helena,1.0,0.0,1.0,0.0
162,Réunion,19.0,0.0,19.0,0.0
33,Cambodia,62.0,0.0,62.0,0.0
168,Senegal,97.0,0.0,97.0,0.0
217,Wallis and Futuna Is.,5.0,0.0,5.0,0.0
34,Cameroon,112.0,0.0,112.0,0.0
