,Country,No,Yes,Total Disasters,Percentage
197,Togo,41.0,0.0,41.0,0.0
216,Vietnam,338.0,0.0,338.0,0.0
41,China,1992.0,3.0,1995.0,0.15
90,Iran,441.0,1.0,442.0,0.226
142,Nigeria,521.0,2.0,523.0,0.382
59,Egypt,251.0,1.0,252.0,0.397
88,India,1573.0,7.0,1580.0,0.443
210,United Kingdom,203.0,1.0,204.0,0.49
202,Turkey,388.0,2.0,390.0,0.513
53,Dem. Rep. Congo,339.0,2.0,341.0,0.587
133,Myanmar,158.0,1.0,159.0,0.629
181,Sri Lanka,156.0,1.0,157.0,0.637
131,Morocco,155.0,1.0,156.0,0.641
116,Malaysia,151.0,1.0,152.0,0.658
0,Afghanistan,272.0,2.0,274.0,0.73
118,Mali,98.0,1.0,99.0,1.01
186,Sudan,194.0,2.0,196.0,1.02
219,Zambia,92.0,1.0,93.0,1.075
30,Burkina Faso,90.0,1.0,91.0,1.099
189,Switzerland,82.0,1.0,83.0,1.205
109,Libya,78.0,1.0,79.0,1.266
2,Algeria,154.0,2.0,156.0,1.282
18,Belgium,154.0,2.0,156.0,1.282
68,France,291.0,4.0,295.0,1.356
137,Netherlands,72.0,1.0,73.0,1.37
122,Mauritania,67.0,1.0,68.0,1.471
91,Iraq,63.0,1.0,64.0,1.562
207,Uganda,188.0,3.0,191.0,1.571
4,Angola,122.0,2.0,124.0,1.613
48,Cuba,119.0,2.0,121.0,1.653
144,North Korea,59.0,1.0,60.0,1.667
96,Jamaica,59.0,1.0,60.0,1.667
89,Indonesia,860.0,16.0,876.0,1.826
74,Ghana,94.0,2.0,96.0,2.083
73,Germany,185.0,4.0,189.0,2.116
180,Spain,183.0,4.0,187.0,2.139
100,Kenya,225.0,5.0,230.0,2.174
80,Guinea,84.0,2.0,86.0,2.326
218,Yemen,120.0,3.0,123.0,2.439
141,Niger,120.0,3.0,123.0,2.439
178,South Africa,318.0,8.0,326.0,2.454
179,South Korea,197.0,5.0,202.0,2.475
72,Georgia,39.0,1.0,40.0,2.5
147,Pakistan,491.0,13.0,504.0,2.579
132,Mozambique,151.0,4.0,155.0,2.581
156,Portugal,73.0,2.0,75.0,2.667
160,Russia,520.0,16.0,536.0,2.985
174,Slovakia,31.0,1.0,32.0,3.125
94,Israel,30.0,1.0,31.0,3.226
145,Norway,29.0,1.0,30.0,3.333
190,Syria,52.0,2.0,54.0,3.704
57,Dominican Rep.,102.0,4.0,106.0,3.774
177,Somalia,126.0,5.0,131.0,3.817
128,Mongolia,50.0,2.0,52.0,3.846
32,Cabo Verde,25.0,1.0,26.0,3.846
106,Lebanon,25.0,1.0,26.0,3.846
107,Lesotho,25.0,1.0,26.0,3.846
159,Romania,124.0,5.0,129.0,3.876
7,Argentina,171.0,7.0,178.0,3.933
151,Papua New Guinea,97.0,4.0,101.0,3.96
185,St. Vin. and Gren.,24.0,1.0,25.0,4.0
99,Kazakhstan,45.0,2.0,47.0,4.255
20,Benin,67.0,3.0,70.0,4.286
114,Madagascar,111.0,5.0,116.0,4.31
42,Colombia,324.0,15.0,339.0,4.425
146,Oman,21.0,1.0,22.0,4.545
154,Philippines,895.0,43.0,938.0,4.584
83,Haiti,187.0,9.0,196.0,4.592
176,Solomon Is.,38.0,2.0,40.0,5.0
52,Côte d'Ivoire,57.0,3.0,60.0,5.0
195,Thailand,260.0,14.0,274.0,5.109
31,Burundi,74.0,4.0,78.0,5.128
38,Central African Rep.,73.0,4.0,77.0,5.195
127,Moldova,17.0,1.0,18.0,5.556
36,Canary Is.,17.0,1.0,18.0,5.556
61,Eq. Guinea,17.0,1.0,18.0,5.556
215,Venezuela,116.0,7.0,123.0,5.691
55,Djibouti,33.0,2.0,35.0,5.714
108,Liberia,31.0,2.0,33.0,6.061
10,Austria,61.0,4.0,65.0,6.154
175,Slovenia,15.0,1.0,16.0,6.25
56,Dominica,15.0,1.0,16.0,6.25
163,S. Sudan,30.0,2.0,32.0,6.25
125,Mexico,450.0,31.0,481.0,6.445
16,Barbados,14.0,1.0,15.0,6.667
220,Zimbabwe,95.0,7.0,102.0,6.863
117,Maldives,13.0,1.0,14.0,7.143
43,Comoros,39.0,3.0,42.0,7.143
39,Chad,65.0,5.0,70.0,7.143
115,Malawi,91.0,7.0,98.0,7.143
87,Iceland,13.0,1.0,14.0,7.143
95,Italy,263.0,21.0,284.0,7.394
19,Belize,23.0,2.0,25.0,8.0
35,Canada,226.0,20.0,246.0,8.13
140,Nicaragua,90.0,8.0,98.0,8.163
153,Peru,364.0,33.0,397.0,8.312
105,Latvia,11.0,1.0,12.0,8.333
86,Hungary,43.0,4.0,47.0,8.511
75,Greece,149.0,14.0,163.0,8.589
212,Uruguay,42.0,4.0,46.0,8.696
25,Botswana,21.0,2.0,23.0,8.696
60,El Salvador,81.0,8.0,89.0,8.989
165,Saint Lucia,20.0,2.0,22.0,9.091
71,Gambia,39.0,4.0,43.0,9.302
1,Albania,46.0,5.0,51.0,9.804
150,Panama,72.0,8.0,80.0,10.0
58,Ecuador,149.0,17.0,166.0,10.241
79,Guatemala,148.0,17.0,165.0,10.303
51,Czechia,51.0,6.0,57.0,10.526
135,Namibia,33.0,4.0,37.0,10.811
84,Honduras,107.0,13.0,120.0,10.833
76,Grenada,8.0,1.0,9.0,11.111
129,Montenegro,8.0,1.0,9.0,11.111
170,Seychelles,8.0,1.0,9.0,11.111
200,Trinidad and Tobago,15.0,2.0,17.0,11.765
157,Puerto Rico,45.0,6.0,51.0,11.765
40,Chile,133.0,18.0,151.0,11.921
206,U.S. Virgin Is.,7.0,1.0,8.0,12.5
65,Fiji,56.0,8.0,64.0,12.5
191,São Tomé and Principe,7.0,1.0,8.0,12.5
113,Macedonia,27.0,4.0,31.0,12.903
44,Congo,53.0,8.0,61.0,13.115
9,Australia,223.0,34.0,257.0,13.23
211,United States of America,1312.0,201.0,1513.0,13.285
45,Cook Is.,13.0,2.0,15.0,13.333
221,eSwatini,19.0,3.0,22.0,13.636
169,Serbia,81.0,13.0,94.0,13.83
26,Brazil,397.0,64.0,461.0,13.883
46,Costa Rica,72.0,12.0,84.0,14.286
101,Kiribati,6.0,1.0,7.0,14.286
214,Vanuatu,46.0,8.0,54.0,14.815
199,Tonga,22.0,4.0,26.0,15.385
149,Palestine,11.0,2.0,13.0,15.385
139,New Zealand,77.0,15.0,92.0,16.304
78,Guam,10.0,2.0,12.0,16.667
110,Lithuania,14.0,3.0,17.0,17.647
47,Croatia,32.0,7.0,39.0,17.949
166,Samoa,13.0,3.0,16.0,18.75
23,Bolivia,126.0,31.0,157.0,19.745
82,Guyana,14.0,4.0,18.0,22.222
187,Suriname,7.0,2.0,9.0,22.222
67,Fr. Polynesia,7.0,2.0,9.0,22.222
29,Bulgaria,49.0,17.0,66.0,25.758
152,Paraguay,45.0,19.0,64.0,29.688
205,Tuvalu,7.0,3.0,10.0,30.0
27,British Virgin Is.,2.0,1.0,3.0,33.333
3,American Samoa,4.0,2.0,6.0,33.333
134,N. Mariana Is.,3.0,2.0,5.0,40.0
24,Bosnia and Herz.,21.0,14.0,35.0,40.0
120,Marshall Is.,5.0,4.0,9.0,44.444
126,Micronesia,4.0,8.0,12.0,66.667
