Disaster Type,Start Year,"Total Damage, Adjusted ('000 US$)",Total Deaths,Total Affected
Earthquake,1900,0.0,140.0,0.0
Earthquake,1901,0.0,18.0,24.0
Earthquake,1902,845577.0,9148.0,142652.0
Earthquake,1903,0.0,6630.0,60000.0
Earthquake,1904,0.0,152.0,3969.0
Earthquake,1905,1589434.0,20688.0,22277.0
Earthquake,1906,20323911.0,22653.0,120482.0
Earthquake,1907,942214.0,13241.0,90000.0
Earthquake,1908,3778163.0,75000.0,150000.0
Earthquake,1909,0.0,5478.0,3345.0
Earthquake,1910,0.0,2522.0,0.0
Earthquake,1911,0.0,1297.0,1288.0
Earthquake,1912,0.0,923.0,18195.0
Earthquake,1913,0.0,1230.0,112.0
Earthquake,1914,0.0,4282.0,54309.0
Earthquake,1915,1767792.0,30156.0,0.0
Earthquake,1916,0.0,181.0,2153.0
Earthquake,1917,0.0,19504.0,475.0
Earthquake,1918,565887.0,10216.0,0.0
Earthquake,1920,365875.0,182648.0,167.0
Earthquake,1922,0.0,1032.0,417.0
Earthquake,1923,10270175.0,150947.0,203733.0
Earthquake,1924,0.0,1037.0,12390.0
Earthquake,1925,133806.0,6140.0,17628.0
Earthquake,1926,0.0,12.0,0.0
Earthquake,1927,672874.0,44252.0,213484.0
Earthquake,1928,0.0,635.0,209.0
Earthquake,1929,0.0,3270.0,1121.0
Earthquake,1930,350539.0,5563.0,40632.0
Earthquake,1931,770263.0,14286.0,11000.0
Earthquake,1932,0.0,1627.0,28201.0
Earthquake,1933,873562.0,13326.0,150.0
Earthquake,1934,0.0,120.0,0.0
Earthquake,1935,0.0,67412.0,282592.0
Earthquake,1936,0.0,611.0,71516.0
Earthquake,1937,0.0,425.0,200.0
Earthquake,1938,0.0,149.0,6430.0
Earthquake,1939,19794101.0,63121.0,652687.0
Earthquake,1940,899007.0,1402.0,67705.0
Earthquake,1941,0.0,2856.0,46172.0
Earthquake,1942,44893.0,3426.0,135.0
Earthquake,1943,2368671.0,6984.0,44348.0
Earthquake,1944,1663068.0,15250.0,235573.0
Earthquake,1945,406528.0,6943.0,22589.0
Earthquake,1946,375256.0,5226.0,3884.0
Earthquake,1947,0.0,636.0,35020.0
Earthquake,1948,12543414.0,116315.0,350575.0
Earthquake,1949,1097009.0,9890.0,105595.0
Earthquake,1950,303631.0,1950.0,40250.0
Earthquake,1951,258927.0,4739.0,162346.0
Earthquake,1952,1000242.0,353.0,5446.0
