,Date,Total_Deaths,Longitude,Latitude,Disaster_Subgroup
320,1962,12000.0,49.843,35.656,Geophysical
321,1962,47.0,-76.352,5.173,Geophysical
322,1962,15.0,19.5,40.9,Geophysical
323,1962,16.0,15.5,41.4,Geophysical
324,1963,300.0,21.0,32.6,Geophysical
325,1963,1070.0,21.3,42.1,Geophysical
326,1963,15.0,122.094,24.411,Geophysical
327,1964,107.0,120.6,23.2,Geophysical
329,1964,131.0,-147.339,60.908,Geophysical
330,1964,4.0,32.56,-2.31,Geophysical
331,1964,45.0,-100.605,18.136,Geophysical
332,1964,25.0,139.195,38.67,Geophysical
333,1964,23.0,28.206,40.203,Geophysical
334,1965,2.0,4.4,35.7,Geophysical
335,1965,38.0,24.0,39.4,Geophysical
336,1965,400.0,-71.233,-32.522,Geophysical
337,1965,7.0,-122.3,47.4,Geophysical
338,1965,125.0,-89.3,13.5,Geophysical
339,1965,71.0,-125.952,-2.608,Geophysical
340,1965,20.0,47.1,37.6,Geophysical
341,1965,32.0,21.8,37.7,Geophysical
342,1966,1.0,22.0,39.2,Geophysical
343,1966,104.0,29.863,0.622,Geophysical
344,1966,10.0,69.1,41.2,Geophysical
345,1966,80.0,80.935,29.706,Geophysical
346,1966,14.0,41.3,38.5,Geophysical
347,1966,2394.0,41.572,39.235,Geophysical
348,1966,1.0,22.1,37.5,Geophysical
349,1966,120.0,-78.228,-10.665,Geophysical
350,1966,4.0,-70.55,-25.494,Geophysical
351,1966,10.0,41.6,39.1,Geophysical
352,1966,12.0,41.3,38.9,Geophysical
353,1966,15.0,78.9,28.7,Geophysical
354,1967,61.0,-74.798,2.849,Geophysical
355,1967,9.0,21.2,39.5,Geophysical
356,1967,183.0,30.8,40.751,Geophysical
357,1967,240.0,-67.33,10.559,Geophysical
358,1967,7.0,21.28,42.0,Geophysical
359,1967,11.0,20.532,41.386,Geophysical
360,1967,177.0,73.885,17.412,Geophysical
361,1967,71.0,119.3,-3.7,Geophysical
362,1967,54.0,113.017,-8.965,Geophysical
363,1967,1.0,-0.5,43.2,Geophysical
365,1967,14.0,96.286,5.121,Geophysical
366,1967,10.0,-0.1,35.5,Geophysical
367,1967,97.0,40.4,39.5,Geophysical
368,1967,20.0,-73.032,6.747,Geophysical
370,1968,224.0,13.033,37.702,Geophysical
371,1968,19.0,24.957,39.368,Geophysical
372,1968,38.0,44.3,39.2,Geophysical
373,1968,47.0,140.43,40.5,Geophysical
374,1968,11.0,-77.086,-5.61,Geophysical
375,1968,271.0,122.067,16.316,Geophysical
376,1968,200.0,119.802,0.157,Geophysical
377,1968,10000.0,59.083,34.158,Geophysical
378,1968,24.0,32.463,41.86,Geophysical
379,1968,15.0,-92.7,15.5,Geophysical
381,1968,1.0,19.3,42.1,Geophysical
382,1968,3.0,172.02,-41.659,Geophysical
383,1968,18.0,-97.739,16.519,Geophysical
384,1968,700.0,58.2,34.0,Geophysical
385,1969,50.0,57.9,37.1,Geophysical
386,1969,64.0,118.904,-3.201,Geophysical
387,1969,53.0,28.546,38.515,Geophysical
388,1969,24.0,41.21,11.9,Geophysical
389,1969,3000.0,111.8,22.317,Geophysical
390,1969,9.0,19.386,-33.268,Geophysical
391,1969,150.0,-75.051,-11.841,Geophysical
392,1969,15.0,17.3,44.9,Geophysical
393,1969,11.0,-10.613,36.033,Geophysical
394,1969,2.0,-10.613,36.033,Geophysical
395,1969,2.0,33.895,27.575,Geophysical
396,1970,14.0,121.63,15.791,Geophysical
397,1970,10000.0,102.543,24.185,Geophysical
398,1970,1086.0,29.57,39.098,Geophysical
399,1970,66794.0,-78.737,-9.183,Geophysical
400,1970,176.0,55.885,37.733,Geophysical
402,1970,15.0,145.396,-4.999,Geophysical
403,1970,29.0,-80.542,-4.026,Geophysical
404,1970,29.0,-80.542,-4.026,Geophysical
405,1970,26.0,73.0,21.7,Geophysical
406,1970,12.0,-75.6,-9.9,Geophysical
408,1971,22.0,11.8,42.5,Geophysical
409,1971,65.0,-118.37,34.416,Geophysical
410,1971,57.0,29.8,37.6,Geophysical
411,1971,878.0,40.653,38.934,Geophysical
412,1971,85.0,-71.076,-32.601,Geophysical
413,1971,1.0,109.1,-7.2,Geophysical
414,1972,12.0,-76.726,-6.855,Geophysical
415,1972,5057.0,52.765,28.415,Geophysical
416,1972,10000.0,-86.223,12.184,Geophysical
417,1972,1.0,13.3,43.8,Geophysical
418,1972,100.0,73.4,36.0,Geophysical
419,1972,2.0,13.3,43.8,Geophysical
420,1972,11.0,69.681,36.278,Geophysical
421,1973,56.0,-102.996,18.481,Geophysical
422,1973,14.0,122.787,13.372,Geophysical
423,1973,21.0,-84.759,10.679,Geophysical
424,1973,500.0,-96.598,18.267,Geophysical
429,1974,20000.0,104.1,28.4,Geophysical
430,1974,30.0,138.74,34.522,Geophysical
431,1974,78.0,-77.795,-12.265,Geophysical
432,1974,4700.0,72.9,35.1,Geophysical
433,1974,10.0,-76.352,-12.299,Geophysical
434,1974,11.0,-77.688,7.747,Geophysical
435,1975,47.0,78.43,32.455,Geophysical
436,1975,2000.0,122.58,40.641,Geophysical
437,1975,200.0,155.152,-7.104,Geophysical
438,1975,2385.0,40.723,38.474,Geophysical
440,1976,1.0,-16.582,66.157,Geophysical
442,1976,23000.0,-89.101,15.324,Geophysical
443,1976,50.0,67.79,36.61,Geophysical
444,1976,2.0,43.01,41.13,Geophysical
445,1976,10.0,79.804,0.782,Geophysical
446,1976,922.0,13.275,46.356,Geophysical
448,1976,420.0,140.091,-4.603,Geophysical
449,1976,573.0,114.888,-8.17,Geophysical
450,1976,242000.0,117.978,39.57,Geophysical
451,1976,6000.0,124.023,6.262,Geophysical
453,1976,4.0,28.89,37.7,Geophysical
454,1976,10.0,-78.3,-0.14,Geophysical
455,1976,133.0,139.918,-4.517,Geophysical
456,1976,16.0,59.15,33.8,Geophysical
457,1976,3840.0,44.029,39.121,Geophysical
458,1976,1.0,-78.436,-0.677,Geophysical
459,1976,11.0,13.197,46.302,Geophysical
460,1977,147.0,29.25,-1.52,Geophysical
461,1977,20.0,26.76,45.77,Geophysical
462,1977,1641.0,26.761,45.772,Geophysical
463,1977,1.0,122.327,16.773,Geophysical
464,1977,167.0,56.393,27.609,Geophysical
465,1977,30.0,40.02,38.56,Geophysical
466,1977,352.0,50.68,31.98,Geophysical
467,1977,34.0,160.323,-9.828,Geophysical
