Disaster Type,Start Month,Hemisphere,Occurrences
Animal incident,November,Northern Hemisphere,1
Drought,January,Northern Hemisphere,105
Drought,January,Southern Hemisphere,37
Drought,February,Northern Hemisphere,23
Drought,February,Southern Hemisphere,7
Drought,March,Northern Hemisphere,42
Drought,March,Southern Hemisphere,9
Drought,April,Northern Hemisphere,42
Drought,April,Southern Hemisphere,11
Drought,May,Northern Hemisphere,40
Drought,May,Southern Hemisphere,9
Drought,June,Northern Hemisphere,52
Drought,June,Southern Hemisphere,12
Drought,July,Northern Hemisphere,52
Drought,July,Southern Hemisphere,10
Drought,August,Northern Hemisphere,27
Drought,August,Southern Hemisphere,14
Drought,September,Northern Hemisphere,22
Drought,September,Southern Hemisphere,13
Drought,October,Northern Hemisphere,22
Drought,October,Southern Hemisphere,17
Drought,November,Northern Hemisphere,15
Drought,November,Southern Hemisphere,10
Drought,December,Northern Hemisphere,24
Drought,December,Southern Hemisphere,11
Earthquake,January,Northern Hemisphere,104
Earthquake,January,Southern Hemisphere,32
Earthquake,February,Northern Hemisphere,103
Earthquake,February,Southern Hemisphere,27
Earthquake,March,Northern Hemisphere,112
Earthquake,March,Southern Hemisphere,23
Earthquake,April,Northern Hemisphere,126
Earthquake,April,Southern Hemisphere,16
Earthquake,May,Northern Hemisphere,127
Earthquake,May,Southern Hemisphere,21
Earthquake,June,Northern Hemisphere,92
Earthquake,June,Southern Hemisphere,26
Earthquake,July,Northern Hemisphere,108
Earthquake,July,Southern Hemisphere,19
Earthquake,August,Northern Hemisphere,113
Earthquake,August,Southern Hemisphere,27
Earthquake,September,Northern Hemisphere,105
Earthquake,September,Southern Hemisphere,31
Earthquake,October,Northern Hemisphere,106
Earthquake,October,Southern Hemisphere,21
Earthquake,November,Northern Hemisphere,108
Earthquake,November,Southern Hemisphere,27
Earthquake,December,Northern Hemisphere,112
Earthquake,December,Southern Hemisphere,27
Epidemic,January,Northern Hemisphere,272
Epidemic,January,Southern Hemisphere,96
Epidemic,February,Northern Hemisphere,70
Epidemic,February,Southern Hemisphere,27
Epidemic,March,Northern Hemisphere,77
Epidemic,March,Southern Hemisphere,24
Epidemic,April,Northern Hemisphere,70
Epidemic,April,Southern Hemisphere,17
Epidemic,May,Northern Hemisphere,65
Epidemic,May,Southern Hemisphere,24
Epidemic,June,Northern Hemisphere,76
Epidemic,June,Southern Hemisphere,18
Epidemic,July,Northern Hemisphere,71
Epidemic,July,Southern Hemisphere,20
Epidemic,August,Northern Hemisphere,80
Epidemic,August,Southern Hemisphere,28
Epidemic,September,Northern Hemisphere,80
Epidemic,September,Southern Hemisphere,17
Epidemic,October,Northern Hemisphere,93
Epidemic,October,Southern Hemisphere,35
Epidemic,November,Northern Hemisphere,62
Epidemic,November,Southern Hemisphere,30
Epidemic,December,Northern Hemisphere,76
Epidemic,December,Southern Hemisphere,31
Extreme temperature,January,Northern Hemisphere,132
Extreme temperature,January,Southern Hemisphere,16
Extreme temperature,February,Northern Hemisphere,34
Extreme temperature,February,Southern Hemisphere,4
Extreme temperature,March,Northern Hemisphere,7
Extreme temperature,April,Northern Hemisphere,16
Extreme temperature,April,Southern Hemisphere,2
Extreme temperature,May,Northern Hemisphere,59
Extreme temperature,May,Southern Hemisphere,6
Extreme temperature,June,Northern Hemisphere,51
Extreme temperature,June,Southern Hemisphere,6
Extreme temperature,July,Northern Hemisphere,95
Extreme temperature,July,Southern Hemisphere,29
Extreme temperature,August,Northern Hemisphere,25
Extreme temperature,August,Southern Hemisphere,3
Extreme temperature,September,Northern Hemisphere,1
Extreme temperature,September,Southern Hemisphere,2
Extreme temperature,October,Northern Hemisphere,10
Extreme temperature,October,Southern Hemisphere,1
Extreme temperature,November,Northern Hemisphere,34
Extreme temperature,November,Southern Hemisphere,3
Extreme temperature,December,Northern Hemisphere,101
Extreme temperature,December,Southern Hemisphere,9
Flood,January,Northern Hemisphere,201
Flood,January,Southern Hemisphere,246
Flood,February,Northern Hemisphere,159
Flood,February,Southern Hemisphere,188
Flood,March,Northern Hemisphere,222
Flood,March,Southern Hemisphere,177
Flood,April,Northern Hemisphere,277
Flood,April,Southern Hemisphere,144
Flood,May,Northern Hemisphere,383
Flood,May,Southern Hemisphere,107
Flood,June,Northern Hemisphere,533
Flood,June,Southern Hemisphere,89
Flood,July,Northern Hemisphere,614
Flood,July,Southern Hemisphere,79
Flood,August,Northern Hemisphere,683
Flood,August,Southern Hemisphere,46
Flood,September,Northern Hemisphere,452
Flood,September,Southern Hemisphere,39
Flood,October,Northern Hemisphere,394
Flood,October,Southern Hemisphere,79
Flood,November,Northern Hemisphere,307
Flood,November,Southern Hemisphere,98
Flood,December,Northern Hemisphere,221
Flood,December,Southern Hemisphere,150
Fog,December,Northern Hemisphere,1
Glacial lake outburst flood,February,Northern Hemisphere,1
Glacial lake outburst flood,April,Northern Hemisphere,1
Glacial lake outburst flood,July,Northern Hemisphere,1
Glacial lake outburst flood,October,Northern Hemisphere,1
Impact,February,Northern Hemisphere,1
Infestation,January,Northern Hemisphere,7
