Disaster Type,Start Month,Hemisphere,Occurrences
Infestation,January,Southern Hemisphere,1
Infestation,February,Northern Hemisphere,7
Infestation,March,Northern Hemisphere,4
Infestation,April,Northern Hemisphere,4
Infestation,April,Southern Hemisphere,1
Infestation,May,Northern Hemisphere,4
Infestation,June,Northern Hemisphere,5
Infestation,June,Southern Hemisphere,4
Infestation,July,Northern Hemisphere,13
Infestation,August,Northern Hemisphere,5
Infestation,August,Southern Hemisphere,1
Infestation,September,Northern Hemisphere,3
Infestation,September,Southern Hemisphere,1
Infestation,October,Northern Hemisphere,4
Infestation,October,Southern Hemisphere,1
Infestation,November,Northern Hemisphere,4
Infestation,December,Northern Hemisphere,1
Mass movement (dry),January,Northern Hemisphere,5
Mass movement (dry),January,Southern Hemisphere,2
Mass movement (dry),February,Northern Hemisphere,2
Mass movement (dry),March,Northern Hemisphere,4
Mass movement (dry),April,Northern Hemisphere,3
Mass movement (dry),May,Northern Hemisphere,2
Mass movement (dry),May,Southern Hemisphere,1
Mass movement (dry),June,Northern Hemisphere,2
Mass movement (dry),June,Southern Hemisphere,1
Mass movement (dry),July,Northern Hemisphere,1
Mass movement (dry),July,Southern Hemisphere,1
Mass movement (dry),August,Northern Hemisphere,5
Mass movement (dry),September,Northern Hemisphere,1
Mass movement (dry),September,Southern Hemisphere,1
Mass movement (dry),October,Northern Hemisphere,4
Mass movement (dry),November,Northern Hemisphere,5
Mass movement (dry),December,Northern Hemisphere,4
Mass movement (wet),January,Northern Hemisphere,47
Mass movement (wet),January,Southern Hemisphere,34
Mass movement (wet),February,Northern Hemisphere,55
Mass movement (wet),February,Southern Hemisphere,23
Mass movement (wet),March,Northern Hemisphere,51
Mass movement (wet),March,Southern Hemisphere,23
Mass movement (wet),April,Northern Hemisphere,41
Mass movement (wet),April,Southern Hemisphere,25
Mass movement (wet),May,Northern Hemisphere,43
Mass movement (wet),May,Southern Hemisphere,18
Mass movement (wet),June,Northern Hemisphere,58
Mass movement (wet),June,Southern Hemisphere,8
Mass movement (wet),July,Northern Hemisphere,82
Mass movement (wet),July,Southern Hemisphere,6
Mass movement (wet),August,Northern Hemisphere,64
Mass movement (wet),August,Southern Hemisphere,6
Mass movement (wet),September,Northern Hemisphere,52
Mass movement (wet),September,Southern Hemisphere,7
Mass movement (wet),October,Northern Hemisphere,44
Mass movement (wet),October,Southern Hemisphere,12
Mass movement (wet),November,Northern Hemisphere,41
Mass movement (wet),November,Southern Hemisphere,10
Mass movement (wet),December,Northern Hemisphere,36
Mass movement (wet),December,Southern Hemisphere,24
Storm,January,Northern Hemisphere,317
Storm,January,Southern Hemisphere,130
Storm,February,Northern Hemisphere,226
Storm,February,Southern Hemisphere,95
Storm,March,Northern Hemisphere,179
Storm,March,Southern Hemisphere,93
Storm,April,Northern Hemisphere,242
Storm,April,Southern Hemisphere,80
Storm,May,Northern Hemisphere,286
Storm,May,Southern Hemisphere,58
Storm,June,Northern Hemisphere,272
Storm,June,Southern Hemisphere,27
Storm,July,Northern Hemisphere,384
Storm,July,Southern Hemisphere,25
Storm,August,Northern Hemisphere,486
Storm,August,Southern Hemisphere,22
Storm,September,Northern Hemisphere,598
Storm,September,Southern Hemisphere,40
Storm,October,Northern Hemisphere,440
Storm,October,Southern Hemisphere,42
Storm,November,Northern Hemisphere,324
Storm,November,Southern Hemisphere,34
Storm,December,Northern Hemisphere,241
Storm,December,Southern Hemisphere,73
Volcanic activity,January,Northern Hemisphere,15
Volcanic activity,January,Southern Hemisphere,10
Volcanic activity,February,Northern Hemisphere,11
Volcanic activity,February,Southern Hemisphere,5
Volcanic activity,March,Northern Hemisphere,12
Volcanic activity,March,Southern Hemisphere,7
Volcanic activity,April,Northern Hemisphere,16
Volcanic activity,April,Southern Hemisphere,9
Volcanic activity,May,Northern Hemisphere,13
Volcanic activity,May,Southern Hemisphere,13
Volcanic activity,June,Northern Hemisphere,8
Volcanic activity,June,Southern Hemisphere,10
Volcanic activity,July,Northern Hemisphere,15
Volcanic activity,July,Southern Hemisphere,12
Volcanic activity,August,Northern Hemisphere,11
Volcanic activity,August,Southern Hemisphere,8
Volcanic activity,September,Northern Hemisphere,15
Volcanic activity,September,Southern Hemisphere,10
Volcanic activity,October,Northern Hemisphere,10
Volcanic activity,October,Southern Hemisphere,8
Volcanic activity,November,Northern Hemisphere,10
Volcanic activity,November,Southern Hemisphere,9
Volcanic activity,December,Northern Hemisphere,11
Volcanic activity,December,Southern Hemisphere,15
Wildfire,January,Northern Hemisphere,14
Wildfire,January,Southern Hemisphere,24
Wildfire,February,Northern Hemisphere,15
Wildfire,February,Southern Hemisphere,14
Wildfire,March,Northern Hemisphere,20
Wildfire,March,Southern Hemisphere,5
Wildfire,April,Northern Hemisphere,33
Wildfire,April,Southern Hemisphere,5
Wildfire,May,Northern Hemisphere,35
Wildfire,May,Southern Hemisphere,1
Wildfire,June,Northern Hemisphere,30
Wildfire,June,Southern Hemisphere,5
Wildfire,July,Northern Hemisphere,89
Wildfire,July,Southern Hemisphere,6
Wildfire,August,Northern Hemisphere,58
Wildfire,August,Southern Hemisphere,14
Wildfire,September,Northern Hemisphere,20
Wildfire,September,Southern Hemisphere,15
Wildfire,October,Northern Hemisphere,26
Wildfire,October,Southern Hemisphere,7
Wildfire,November,Northern Hemisphere,8
Wildfire,November,Southern Hemisphere,5
Wildfire,December,Northern Hemisphere,7
Wildfire,December,Southern Hemisphere,10
